渔船ID,lat,lon,速度,方向,time,type
1,29.97266667,122.3858056,0.3,0,2020/10/9 15:39,围网
2,29.94569444,122.3087222,0.2,0,2020/10/23 10:48,拖网
3,30.72952778,122.2266389,9.4,21,2020/10/17 0:14,围网
4,30.59719444,122.0670556,0,0,2020/10/23 23:44,围网
5,30.77691667,122.2941944,8.8,20,2020/10/16 13:18,围网
6,29.83833133,122.2995236,0.3,0,2017/8/1 9:23,刺网
7,29.84022222,122.29625,0,0,2018/10/28 9:45,围网
8,29.83927578,122.2959402,3.8,121,2017/8/21 6:51,刺网
9,29.84025,122.2962778,0,0,2018/12/29 4:47,拖网
10,29.83944244,122.2935513,0,0,2017/9/6 0:09,刺网
11,29.93963889,122.2858333,0,0,2019/10/1 6:07,拖网
12,30.78647222,123.2281389,2.9,337,2020/1/6 19:55,拖网
13,29.83966667,122.2983056,0,0,2020/7/30 11:01,围网
14,29.94716667,122.2656111,0,0,2020/9/1 7:39,刺网
15,29.94058333,122.2806111,0,0,2018/2/23 23:45,刺网
16,30.12377578,122.7795791,0.4,22,2017/10/31 0:38,刺网
17,29.94358133,122.3133013,0.2,0,2017/11/6 23:47,刺网
18,29.94555556,122.3108056,1.6,71,2019/10/2 21:48,刺网
19,29.94566667,122.3093333,0.2,0,2019/12/13 9:40,刺网
20,29.94561111,122.3100833,1.2,119,2020/1/12 13:26,刺网
21,29.94566667,122.3106389,0.3,0,2020/2/26 11:51,刺网
22,30.19322222,122.702,0.4,146,2020/10/22 2:55,刺网
23,29.94541667,122.3095833,0.4,0,2018/1/9 3:12,刺网
24,29.94561111,122.3095556,0.2,0,2018/3/21 12:47,刺网
25,29.94541667,122.30875,0.1,0,2018/4/6 12:56,刺网
26,29.97172222,122.3810833,6.4,102,2018/2/22 10:53,拖网
27,29.944,122.3083889,5.3,101,2018/8/18 6:58,拖网
28,30.21116667,122.6966111,1.1,13,2018/8/27 22:07,拖网
29,30.06075,122.7376667,1.5,349,2018/10/6 21:13,拖网
